YEAR,SUBSECTOR,CE,CI,EI,CS,SA,AE,EP,LPCU,CPT_1,CPT_2,CPT_3,CET_1,CET_2,CET_3,FSIZE,FLEV,INNOV,TANG,CO2_TAX_1,CO2_TAX_2,CO2_TAX_3,CO2_T1,CO2_T2,CO2_T3
2010,A,8.602013344,4.477020937,0.09390831807,0.2343002343,5.927990845,1.422467408,0.4539500278,5.199557726,4.267345411,4.568375407,4.744466666,7.300983348,7.602013344,7.778104603,5.009608097,0.2969961951,3.59736605,4.567026366,18507.4,37014.8,55522.2,19997851.93,39995703.86,59993555.78
2010,A,8.685749931,4.47751049,0.08607590826,0.2869327217,7.442559148,1.517118144,0.3104897849,5.270788735,4.256791084,4.55782108,4.733912339,7.384719935,7.685749931,7.86184119,4.943855454,0.3408555529,4.01924095,4.587441552,18063.05,36126.1,54189.15,24250457.43,48500914.86,72751372.29
2010,A,8.603881349,4.481216,0.04417853018,0.4216002921,7.234345158,1.541506804,0.3487928774,5.262640904,4.176729203,4.477759199,4.653850458,7.302851354,7.603881349,7.779972608,4.993153958,0.3512840831,3.751663946,4.602059991,15022.05,30044.1,45066.15,20084052.76,40168105.52,60252158.28
2010,A,8.614668157,4.480415929,0.05546561919,0.4349211971,6.326532899,1.464799134,0.4405105458,5.140917633,4.05238802,4.353418016,4.529509275,7.313638161,7.614668157,7.790759416,4.950652017,0.3173125399,4.041392685,4.495086214,11282.05,22564.1,33846.15,20589137.85,41178275.69,61767413.54
2010,A,8.627930587,4.48017777,0.09306274734,0.2231275388,3.887004319,1.220591844,0.6860995563,5.317851147,4.349793128,4.650823124,4.826914383,7.326900591,7.627930587,7.804021846,5.240808749,0.1807253136,3.77815125,4.53444496,22376.55,44753.1,67129.65,21227585.11,42455170.23,63682755.34
2010,A,8.555319016,4.47977092,0.04443626253,0.4396751854,6.353448006,1.452772432,0.3448147931,5.281885658,4.090452049,4.391482044,4.567573303,7.254289021,7.555319016,7.731410275,4.981669137,0.3116609469,3.829625353,4.574771832,12315.5,24631,36946.5,17959284.1,35918568.2,53877852.3
2010,A,8.650264124,4.478296506,0.07857765371,0.3350758435,6.127319515,1.499153563,1.300752071,4.674214267,4.150005367,4.451035362,4.627126621,7.349234129,7.650264124,7.826355383,4.964254915,0.3329569268,3.698970004,4.534178463,14125.55,28251.1,42376.65,22347766.68,44695533.37,67043300.05
2010,A,8.671558254,4.47903785,0.1483648783,0.1338375824,7.394278982,1.368926277,0.2117529933,5.563505766,4.479328367,4.780358363,4.956449622,7.370528258,7.671558254,7.847649513,5.025715384,0.2695004713,3.793301354,4.505149978,30152.85,60305.7,90458.55,23470819.76,46941639.52,70412459.27
2010,A,8.541866168,4.480638102,0.08224144356,0.2000042857,8.518509504,1.479226671,0.2890202281,5.28377146,4.386403535,4.687433531,4.86352479,7.240836173,7.541866168,7.717957428,4.914734428,0.3239710857,3.769894036,4.427421187,24344.65,48689.3,73033.95,17411499.42,34822998.85,52234498.27
2010,A,8.697870497,4.47828097,0.1010987251,0.2731512325,6.327993255,1.489061176,0.8809005043,4.859335277,4.241274962,4.542304957,4.718396216,7.396840501,7.697870497,7.873961756,4.977174676,0.3284359191,4,4.555191217,17429.1,34858.2,52287.3,24936787.3,49873574.6,74810361.89
2010,A,8.620614237,4.477597471,0.03971446547,0.4473752494,8.338033423,1.507664621,0.1806783291,5.53712165,4.244236288,4.545266283,4.721357542,7.319584241,7.620614237,7.796705496,4.972332459,0.3367225135,3.89580915,4.534419586,17548.35,35096.7,52645.05,20872969.63,41745939.26,62618908.89
2010,A,8.553071939,4.475412159,0.03354682431,0.7880293849,5.260268397,1.548568341,0.6689007526,4.919165989,2.99839013,3.299420126,3.475511385,7.252041944,7.553071939,7.729163199,4.93445805,0.3542422551,4.028408565,4.427810573,996.3,1992.6,2988.9,17866601.21,35733202.42,53599803.62
2010,A,8.51100101,4.475946358,0.03106412258,0.5181221605,6.812173192,1.389934631,0.2987640363,5.376755018,4.076161473,4.377191468,4.553282728,7.209971014,7.51100101,7.687092269,4.995077712,0.280541705,3.952114085,4.515277604,11916.85,23833.7,35750.55,16217018.58,32434037.16,48651055.74
2010,A,8.436027753,4.478335387,0.04535888492,0.3279355148,6.821421381,1.577270482,0.6038847032,4.972506461,4.186957747,4.487987743,4.664079002,7.134997757,7.436027753,7.612119012,4.951366665,0.3659933338,4.028408565,4.509041145,15380.05,30760.1,46140.15,13645760.89,27291521.77,40937282.66
2010,A,8.50035593,4.478738774,0.05508568896,0.318,6.142128862,1.69361466,0.6104476411,4.975369302,4.190634198,4.491664194,4.667755453,7.199325934,7.50035593,7.676447189,4.989832327,0.4095469156,3.655426588,4.590027745,15510.8,31021.6,46532.4,15824351.97,31648703.94,47473055.91
2010,A,8.48056059,4.478803663,0.07723370924,0.1625025,4.769200503,1.220659293,0.4142700382,5.52076642,4.468621263,4.769651259,4.945742518,7.179530594,7.48056059,7.656651849,5.224644406,0.1807705836,3.667919685,4.53155555,29418.55,58837.1,88255.65,15119262.05,30238524.09,45357786.14
2010,A,8.688547278,4.478120127,0.1622319062,0.1655313306,5.512122621,1.419873123,0.5945123829,5.11368136,4.318141626,4.619171622,4.795262881,7.387517282,7.688547278,7.864638537,5.040091803,0.2957117196,3.958468318,4.506964789,20803.75,41607.5,62411.25,24407161.91,48814323.81,73221485.72
2010,A,8.64992185,4.479442077,0.05773868774,0.4662760064,6.234728,1.442562098,1.07662216,4.754354452,4.043254182,4.344284178,4.520375437,7.348891855,7.64992185,7.826013109,4.945552285,0.3067889409,3.84509804,4.427242602,11047.25,22094.5,33141.75,22330161.01,44660322.03,66990483.04
2010,A,8.486733408,4.47833124,0.08496125552,0.2130632638,5.492617515,1.442031839,0.8823996585,4.906253132,4.244008542,4.545038538,4.721129797,7.185703412,7.486733408,7.662824667,5.010893313,0.3065340355,3.549738731,4.602059991,17539.15,35078.3,52617.45,15335693.21,30671386.43,46007079.64
2010,A,8.623016922,4.475877804,0.1261927286,0.2003603604,5.900112687,1.517511736,0.3498169284,5.248459796,4.255890934,4.55692093,4.733012189,7.321986927,7.623016922,7.799108181,4.973432677,0.3410265133,3.653115993,4.590786124,18025.65,36051.3,54076.95,20988767.01,41977534.01,62966301.02
2010,A,8.680097234,4.478535937,0.08383145011,0.2371725,9.658569566,1.469545624,0.1605417569,5.54540609,4.41784023,4.718870226,4.894961485,7.379067238,7.680097234,7.856188493,4.918177175,0.3195175545,3.656481516,4.444044796,26172.2,52344.4,78516.6,23936863.23,47873726.45,71810589.68
2010,A,8.457263821,4.477444981,0.0267472781,0.4660011882,8.60126234,1.263584373,0.2068349125,5.532361936,4.224750544,4.52578054,4.701871799,7.156233825,7.457263821,7.63335508,4.949590029,0.2086005323,3.660486016,4.397940009,16778.4,33556.8,50335.2,14329591.99,28659183.99,42988775.98
2010,A,8.579221893,4.47921868,0.05503178919,0.290832419,9.331249407,1.53271028,0.2023514833,5.434240504,4.374823471,4.675853466,4.851944725,7.278191897,7.579221893,7.755313152,4.925806967,0.3475609756,3.829818187,4.543385045,23704.1,47408.2,71112.3,18975441.84,37950883.68,56926325.53
2010,A,8.673944584,4.477953229,0.100347727,0.2700185834,7.047816517,1.684543685,0.3686621676,5.121924721,4.215181354,4.51621135,4.692302609,7.372914588,7.673944584,7.850035843,4.915035572,0.4063674283,3.99056083,4.512737746,16412.75,32825.5,49238.25,23600140.49,47200280.98,70800421.48
2010,A,8.603041311,4.479229597,0.03730487424,0.6160424832,5.179467442,1.473050655,1.390893887,4.736638683,3.829155766,4.130185761,4.306277021,7.302011316,7.603041311,7.77913257,5.048150363,0.3211367196,3.829818187,4.54696195,6747.7,13495.4,20243.1,20045242.55,40090485.09,60135727.64
2010,A,8.635397393,4.480094837,0.05359708234,0.337508998,6.93051537,1.434352835,0.3421314415,5.366261538,4.33913629,4.640166285,4.816257544,7.334367397,7.635397393,7.811488652,5.057110521,0.3028214705,3.999348069,4.478725179,21834.15,43668.3,65502.45,21595705.55,43191411.1,64787116.66
2010,A,8.632431677,4.476734809,0.06757742992,0.3584909812,5.227619039,1.403542109,0.6265446317,5.108935572,4.162232735,4.46326273,4.639353989,7.331401682,7.632431677,7.808522936,5.053113032,0.2875169234,3.99409709,4.551998619,14528.9,29057.8,43586.7,21448734.91,42897469.81,64346204.72
2010,A,8.488441837,4.477130117,0.03579334081,0.3645584232,6.668636394,1.397899927,0.5031220783,5.224555851,4.07510697,4.376136965,4.552228225,7.187411841,7.488441837,7.664533096,5.071705309,0.28464121,3.936764998,4.444918754,11887.95,23775.9,35663.85,15396139.64,30792279.29,46188418.93
2010,A,8.634856722,4.477240996,0.05392596645,0.4534064932,2.072313278,1.151677525,3.955239936,4.794370918,4.060221744,4.361251739,4.537342999,7.333826726,7.634856722,7.810947981,5.452874644,0.1317013852,3.762978491,4.565198252,11487.4,22974.8,34462.2,21568836.88,43137673.75,64706510.63
2010,A,8.654377521,4.479217158,0.04192872074,0.4499091319,6.503327651,1.364651142,0.3844056988,5.366576848,4.234624831,4.535654827,4.711746086,7.353347526,7.654377521,7.83046878,5.086388308,0.2672119861,3.829818187,4.541142234,17164.25,34328.5,51492.75,22560437.93,45120875.86,67681313.79
2010,A,8.69733506,4.478178989,0.04527158604,0.4547401364,6.863167592,1.361030487,0.2990647586,5.459409377,4.231474688,4.532504683,4.708595942,7.396305065,7.69733506,7.873426319,5.06904247,0.2652626012,3.936865459,4.600711587,17040.2,34080.4,51120.6,24906061.99,49812123.99,74718185.98
2010,A,8.638423577,4.476613651,0.03833252051,0.4789105769,6.848301906,1.289833538,0.2794358212,5.505589479,4.218607707,4.519637702,4.695728961,7.337393581,7.638423577,7.814514836,5.062405222,0.2247061575,3.906712057,4.455864635,16542.75,33085.5,49628.25,21746710.9,43493421.81,65240132.71
2010,A,8.550765279,4.478464378,0.0312444933,0.5069498737,6.230548778,1.422979978,0.4062434795,5.316050903,4.148630414,4.44966041,4.625751669,7.249735283,7.550765279,7.726856538,5.078036095,0.2972494235,3.891202827,4.444918754,14080.9,28161.8,42242.7,17771958.2,35543916.4,53315874.61
2010,A,8.489297731,4.477221702,0.02797462851,0.5334066706,5.731036662,1.34954148,0.3519402518,5.403364893,4.079873755,4.380903751,4.55699501,7.188267735,7.489297731,7.66538899,5.080020071,0.2590075853,3.994185128,4.424456931,12019.15,24038.3,36057.45,15426511.77,30853023.55,46279535.32
2010,A,8.624891281,4.476227468,0.03720058257,0.5881963565,5.3268992,1.434555969,0.8744548739,4.983662364,3.934967842,4.235997837,4.412089096,7.323861285,7.624891281,7.80098254,5.082117264,0.3029201914,3.938269483,4.440342241,8609.3,17218.6,25827.9,21079547.57,42159095.15,63238642.72
2010,A,8.598426077,4.48144289,0.03672290703,0.4657131772,6.365117246,1.414490708,0.3663316167,5.365646698,4.20553862,4.506568616,4.682659875,7.297396081,7.598426077,7.774517336,5.0801212,0.2930317645,3.946157395,4.563172461,16052.35,32104.7,48157.05,19833350.25,39666700.49,59500050.74
